branch	language	segments_IPA	segments_source	source	comments	features	glottocode
Lezgic	Aghul	χʷ	χ˳	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	χˤ	χI	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	b	b	[Кибрик, Кодзасов 1990: 340–341]	NA	labial	aghu1253
Lezgic	Aghul	d	d	[Кибрик, Кодзасов 1990: 340–341]	NA	alveolar	aghu1253
Lezgic	Aghul	dʒ	ǯ	[Кибрик, Кодзасов 1990: 340–341]	NA	palato-alveolar	aghu1253
Lezgic	Aghul	f	f	[Кибрик, Кодзасов 1990: 340–341]	NA	labial	aghu1253
Lezgic	Aghul	ɡ	g	[Кибрик, Кодзасов 1990: 340–341]	NA	velar	aghu1253
Lezgic	Aghul	ɡʷ	g˳	[Кибрик, Кодзасов 1990: 340–341]	NA	velar	aghu1253
Lezgic	Aghul	h	h	[Кибрик, Кодзасов 1990: 340–341]	NA	laryngeal	aghu1253
Lezgic	Aghul	ʜ	ʜ	[Кибрик, Кодзасов 1990: 340–341]	у автора дан в скобках: представлен лишь в новых заимствованиях, исконные эмфатические ларингалы утрачены	epiglottal	aghu1253
Lezgic	Aghul	j	j	[Кибрик, Кодзасов 1990: 340–341]	NA	palatal	aghu1253
Lezgic	Aghul	kʰ	k	[Кибрик, Кодзасов 1990: 340–341]	NA	velar	aghu1253
Lezgic	Aghul	k'	k'	[Кибрик, Кодзасов 1990: 340–341]	NA	velar	aghu1253
Lezgic	Aghul	k'ʷ	k'˳	[Кибрик, Кодзасов 1990: 340–341]	NA	velar	aghu1253
Lezgic	Aghul	kː	k̄	[Кибрик, Кодзасов 1990: 340–341]	NA	velar	aghu1253
Lezgic	Aghul	kːʷ	k̄˳	[Кибрик, Кодзасов 1990: 340–341]	NA	velar	aghu1253
Lezgic	Aghul	kʰʷ	k˳	[Кибрик, Кодзасов 1990: 340–341]	NA	velar	aghu1253
Lezgic	Aghul	l	l	[Кибрик, Кодзасов 1990: 340–341]	NA	lateral	aghu1253
Lezgic	Aghul	m	m	[Кибрик, Кодзасов 1990: 340–341]	NA	labial	aghu1253
Lezgic	Aghul	n	n	[Кибрик, Кодзасов 1990: 340–341]	NA	alveolar	aghu1253
Lezgic	Aghul	pʰ	p	[Кибрик, Кодзасов 1990: 340–341]	NA	labial	aghu1253
Lezgic	Aghul	p'	p'	[Кибрик, Кодзасов 1990: 340–341]	NA	labial	aghu1253
Lezgic	Aghul	pː	p̄	[Кибрик, Кодзасов 1990: 340–341]	NA	labial	aghu1253
Lezgic	Aghul	qʰ	q	[Кибрик, Кодзасов 1990: 340–341]	NA	uvular	aghu1253
Lezgic	Aghul	q'	q'	[Кибрик, Кодзасов 1990: 340–341]	NA	uvular	aghu1253
Lezgic	Aghul	q'ːʷ	q̄'˳	[Кибрик, Кодзасов 1990: 340–341]	NA	uvular	aghu1253
Lezgic	Aghul	q'ʷ	q'˳	[Кибрик, Кодзасов 1990: 340–341]	NA	uvular	aghu1253
Lezgic	Aghul	q'ˤ	q'I	[Кибрик, Кодзасов 1990: 340–341]	NA	uvular	aghu1253
Lezgic	Aghul	qː	q̄	[Кибрик, Кодзасов 1990: 340–341]	NA	uvular	aghu1253
Lezgic	Aghul	qːˤ	q̄I	[Кибрик, Кодзасов 1990: 340–341]	NA	uvular	aghu1253
Lezgic	Aghul	qʰʷ	q˳	[Кибрик, Кодзасов 1990: 340–341]	NA	uvular	aghu1253
Lezgic	Aghul	qˤ	qI	[Кибрик, Кодзасов 1990: 340–341]	NA	uvular	aghu1253
Lezgic	Aghul	r	r	[Кибрик, Кодзасов 1990: 340–341]	NA	alveolar	aghu1253
Lezgic	Aghul	ʁ	ʀ	[Кибрик, Кодзасов 1990: 340–341]	NA	uvular	aghu1253
Lezgic	Aghul	ʁʷ	ʀ˳	[Кибрик, Кодзасов 1990: 340–341]	NA	uvular	aghu1253
Lezgic	Aghul	ʁˤ	ʀI	[Кибрик, Кодзасов 1990: 340–341]	NA	uvular	aghu1253
Lezgic	Aghul	s	s	[Кибрик, Кодзасов 1990: 340–341]	NA	alveolar	aghu1253
Lezgic	Aghul	ʃ	š	[Кибрик, Кодзасов 1990: 340–341]	NA	palato-alveolar	aghu1253
Lezgic	Aghul	tʰ	t	[Кибрик, Кодзасов 1990: 340–341]	NA	alveolar	aghu1253
Lezgic	Aghul	t'	t'	[Кибрик, Кодзасов 1990: 340–341]	NA	alveolar	aghu1253
Lezgic	Aghul	tː	t̄	[Кибрик, Кодзасов 1990: 340–341]	NA	alveolar	aghu1253
Lezgic	Aghul	tsʰ	c	[Кибрик, Кодзасов 1990: 340–341]	NA	alveolar	aghu1253
Lezgic	Aghul	ts'	c'	[Кибрик, Кодзасов 1990: 340–341]	NA	alveolar	aghu1253
Lezgic	Aghul	tsː	c̄	[Кибрик, Кодзасов 1990: 340–341]	у автора дан в скобках	alveolar	aghu1253
Lezgic	Aghul	tʃʰ	č	[Кибрик, Кодзасов 1990: 340–341]	NA	palato-alveolar	aghu1253
Lezgic	Aghul	tʃ'	č'	[Кибрик, Кодзасов 1990: 340–341]	NA	palato-alveolar	aghu1253
Lezgic	Aghul	tʃː	c̄̌	[Кибрик, Кодзасов 1990: 340–341]	у автора дан в скобках	palato-alveolar	aghu1253
Lezgic	Aghul	w	w	[Кибрик, Кодзасов 1990: 340–341]	NA	labial	aghu1253
Lezgic	Aghul	x	x	[Кибрик, Кодзасов 1990: 340–341]	NA	velar	aghu1253
Lezgic	Aghul	z	z	[Кибрик, Кодзасов 1990: 340–341]	NA	alveolar	aghu1253
Lezgic	Aghul	ʒ	ž	[Кибрик, Кодзасов 1990: 340–341]	у автора дан в скобках	palato-alveolar	aghu1253
Lezgic	Aghul	ʔ	ʔ	[Кибрик, Кодзасов 1990: 340–341]	NA	laryngeal	aghu1253
Lezgic	Aghul	ʢ	ʕ	[Кибрик, Кодзасов 1990: 340–341]	у автора дан в скобках: представлен лишь в новых заимствованиях, исконные эмфатические ларингалы утрачены	epiglottal	aghu1253
Lezgic	Aghul	χ	χ	[Кибрик, Кодзасов 1990: 340–341]	NA	uvular	aghu1253
Lezgic	Aghul	χːʷ	X̄˳	[Кибрик, Кодзасов 1990: 340–341]	NA	uvular	aghu1253
Lezgic	Aghul	χːˤ	χ̄I	[Кибрик, Кодзасов 1990: 340–341]	NA	uvular	aghu1253
Lezgic	Aghul	χʷ	χ˳	[Кибрик, Кодзасов 1990: 340–341]	NA	uvular	aghu1253
Lezgic	Aghul	χˤ	χI	[Кибрик, Кодзасов 1990: 340–341]	NA	uvular	aghu1253
Lezgic	Aghul	b	b	[Кибрик, Кодзасов 1990: 340–341]	NA	plosive	aghu1253
Lezgic	Aghul	d	d	[Кибрик, Кодзасов 1990: 340–341]	NA	plosive	aghu1253
Lezgic	Aghul	dʒ	ǯ	[Кибрик, Кодзасов 1990: 340–341]	NA	affricate	aghu1253
Lezgic	Aghul	f	f	[Кибрик, Кодзасов 1990: 340–341]	NA	fricative	aghu1253
Lezgic	Aghul	ɡ	g	[Кибрик, Кодзасов 1990: 340–341]	NA	plosive	aghu1253
Lezgic	Aghul	ɡʷ	g˳	[Кибрик, Кодзасов 1990: 340–341]	NA	plosive	aghu1253
Lezgic	Aghul	h	h	[Кибрик, Кодзасов 1990: 340–341]	NA	fricative	aghu1253
Lezgic	Aghul	ʜ	ʜ	[Кибрик, Кодзасов 1990: 340–341]	у автора дан в скобках: представлен лишь в новых заимствованиях, исконные эмфатические ларингалы утрачены	fricative	aghu1253
Lezgic	Aghul	j	j	[Кибрик, Кодзасов 1990: 340–341]	NA	approximant	aghu1253
Lezgic	Aghul	kʰ	k	[Кибрик, Кодзасов 1990: 340–341]	NA	plosive	aghu1253
Lezgic	Aghul	k'	k'	[Кибрик, Кодзасов 1990: 340–341]	NA	plosive	aghu1253
Lezgic	Aghul	k'ʷ	k'˳	[Кибрик, Кодзасов 1990: 340–341]	NA	plosive	aghu1253
Lezgic	Aghul	kː	k̄	[Кибрик, Кодзасов 1990: 340–341]	NA	plosive	aghu1253
Lezgic	Aghul	kːʷ	k̄˳	[Кибрик, Кодзасов 1990: 340–341]	NA	plosive	aghu1253
Lezgic	Aghul	kʰʷ	k˳	[Кибрик, Кодзасов 1990: 340–341]	NA	plosive	aghu1253
Lezgic	Aghul	l	l	[Кибрик, Кодзасов 1990: 340–341]	NA	approximant	aghu1253
Lezgic	Aghul	m	m	[Кибрик, Кодзасов 1990: 340–341]	NA	nasal	aghu1253
Lezgic	Aghul	n	n	[Кибрик, Кодзасов 1990: 340–341]	NA	nasal	aghu1253
Lezgic	Aghul	pʰ	p	[Кибрик, Кодзасов 1990: 340–341]	NA	plosive	aghu1253
Lezgic	Aghul	p'	p'	[Кибрик, Кодзасов 1990: 340–341]	NA	plosive	aghu1253
Lezgic	Aghul	pː	p̄	[Кибрик, Кодзасов 1990: 340–341]	NA	plosive	aghu1253
Lezgic	Aghul	qʰ	q	[Кибрик, Кодзасов 1990: 340–341]	NA	plosive	aghu1253
Lezgic	Aghul	q'	q'	[Кибрик, Кодзасов 1990: 340–341]	NA	plosive	aghu1253
Lezgic	Aghul	q'ːʷ	q̄'˳	[Кибрик, Кодзасов 1990: 340–341]	NA	plosive	aghu1253
Lezgic	Aghul	q'ʷ	q'˳	[Кибрик, Кодзасов 1990: 340–341]	NA	plosive	aghu1253
Lezgic	Aghul	q'ˤ	q'I	[Кибрик, Кодзасов 1990: 340–341]	NA	plosive	aghu1253
Lezgic	Aghul	qː	q̄	[Кибрик, Кодзасов 1990: 340–341]	NA	plosive	aghu1253
Lezgic	Aghul	qːˤ	q̄I	[Кибрик, Кодзасов 1990: 340–341]	NA	plosive	aghu1253
Lezgic	Aghul	qʰʷ	q˳	[Кибрик, Кодзасов 1990: 340–341]	NA	plosive	aghu1253
Lezgic	Aghul	qˤ	qI	[Кибрик, Кодзасов 1990: 340–341]	NA	plosive	aghu1253
Lezgic	Aghul	r	r	[Кибрик, Кодзасов 1990: 340–341]	NA	approximant	aghu1253
Lezgic	Aghul	ʁ	ʀ	[Кибрик, Кодзасов 1990: 340–341]	NA	fricative	aghu1253
Lezgic	Aghul	ʁʷ	ʀ˳	[Кибрик, Кодзасов 1990: 340–341]	NA	fricative	aghu1253
Lezgic	Aghul	ʁˤ	ʀI	[Кибрик, Кодзасов 1990: 340–341]	NA	fricative	aghu1253
Lezgic	Aghul	s	s	[Кибрик, Кодзасов 1990: 340–341]	NA	fricative	aghu1253
Lezgic	Aghul	ʃ	š	[Кибрик, Кодзасов 1990: 340–341]	NA	fricative	aghu1253
Lezgic	Aghul	tʰ	t	[Кибрик, Кодзасов 1990: 340–341]	NA	plosive	aghu1253
Lezgic	Aghul	t'	t'	[Кибрик, Кодзасов 1990: 340–341]	NA	plosive	aghu1253
Lezgic	Aghul	tː	t̄	[Кибрик, Кодзасов 1990: 340–341]	NA	plosive	aghu1253
Lezgic	Aghul	tsʰ	c	[Кибрик, Кодзасов 1990: 340–341]	NA	affricate	aghu1253
Lezgic	Aghul	ts'	c'	[Кибрик, Кодзасов 1990: 340–341]	NA	affricate	aghu1253
Lezgic	Aghul	tsː	c̄	[Кибрик, Кодзасов 1990: 340–341]	у автора дан в скобках	affricate	aghu1253
Lezgic	Aghul	tʃʰ	č	[Кибрик, Кодзасов 1990: 340–341]	NA	affricate	aghu1253
Lezgic	Aghul	tʃ'	č'	[Кибрик, Кодзасов 1990: 340–341]	NA	affricate	aghu1253
Lezgic	Aghul	tʃː	c̄̌	[Кибрик, Кодзасов 1990: 340–341]	у автора дан в скобках	affricate	aghu1253
Lezgic	Aghul	w	w	[Кибрик, Кодзасов 1990: 340–341]	NA	approximant	aghu1253
Lezgic	Aghul	x	x	[Кибрик, Кодзасов 1990: 340–341]	NA	fricative	aghu1253
Lezgic	Aghul	z	z	[Кибрик, Кодзасов 1990: 340–341]	NA	fricative	aghu1253
Lezgic	Aghul	ʒ	ž	[Кибрик, Кодзасов 1990: 340–341]	у автора дан в скобках	fricative	aghu1253
Lezgic	Aghul	ʔ	ʔ	[Кибрик, Кодзасов 1990: 340–341]	NA	plosive	aghu1253
Lezgic	Aghul	ʢ	ʕ	[Кибрик, Кодзасов 1990: 340–341]	у автора дан в скобках: представлен лишь в новых заимствованиях, исконные эмфатические ларингалы утрачены	fricative	aghu1253
Lezgic	Aghul	χ	χ	[Кибрик, Кодзасов 1990: 340–341]	NA	fricative	aghu1253
Lezgic	Aghul	χːʷ	X̄˳	[Кибрик, Кодзасов 1990: 340–341]	NA	fricative	aghu1253
Lezgic	Aghul	χːˤ	χ̄I	[Кибрик, Кодзасов 1990: 340–341]	NA	fricative	aghu1253
Lezgic	Aghul	χʷ	χ˳	[Кибрик, Кодзасов 1990: 340–341]	NA	fricative	aghu1253
Lezgic	Aghul	χˤ	χI	[Кибрик, Кодзасов 1990: 340–341]	NA	fricative	aghu1253
Lezgic	Aghul	b	b	[Кибрик, Кодзасов 1990: 340–341]	NA	voiced	aghu1253
Lezgic	Aghul	d	d	[Кибрик, Кодзасов 1990: 340–341]	NA	voiced	aghu1253
Lezgic	Aghul	dʒ	ǯ	[Кибрик, Кодзасов 1990: 340–341]	NA	voiced	aghu1253
Lezgic	Aghul	f	f	[Кибрик, Кодзасов 1990: 340–341]	NA	voiceless	aghu1253
Lezgic	Aghul	ɡ	g	[Кибрик, Кодзасов 1990: 340–341]	NA	voiced	aghu1253
Lezgic	Aghul	ɡʷ	g˳	[Кибрик, Кодзасов 1990: 340–341]	NA	voiced	aghu1253
Lezgic	Aghul	h	h	[Кибрик, Кодзасов 1990: 340–341]	NA	voiceless	aghu1253
Lezgic	Aghul	ʜ	ʜ	[Кибрик, Кодзасов 1990: 340–341]	у автора дан в скобках: представлен лишь в новых заимствованиях, исконные эмфатические ларингалы утрачены	voiceless	aghu1253
Lezgic	Aghul	j	j	[Кибрик, Кодзасов 1990: 340–341]	NA	voiced	aghu1253
Lezgic	Aghul	kʰ	k	[Кибрик, Кодзасов 1990: 340–341]	NA	voiceless	aghu1253
Lezgic	Aghul	k'	k'	[Кибрик, Кодзасов 1990: 340–341]	NA	voiceless	aghu1253
Lezgic	Aghul	k'ʷ	k'˳	[Кибрик, Кодзасов 1990: 340–341]	NA	voiceless	aghu1253
Lezgic	Aghul	kː	k̄	[Кибрик, Кодзасов 1990: 340–341]	NA	voiceless	aghu1253
Lezgic	Aghul	kːʷ	k̄˳	[Кибрик, Кодзасов 1990: 340–341]	NA	voiceless	aghu1253
Lezgic	Aghul	kʰʷ	k˳	[Кибрик, Кодзасов 1990: 340–341]	NA	voiceless	aghu1253
Lezgic	Aghul	l	l	[Кибрик, Кодзасов 1990: 340–341]	NA	voiced	aghu1253
Lezgic	Aghul	m	m	[Кибрик, Кодзасов 1990: 340–341]	NA	voiced	aghu1253
Lezgic	Aghul	n	n	[Кибрик, Кодзасов 1990: 340–341]	NA	voiced	aghu1253
Lezgic	Aghul	pʰ	p	[Кибрик, Кодзасов 1990: 340–341]	NA	voiceless	aghu1253
Lezgic	Aghul	p'	p'	[Кибрик, Кодзасов 1990: 340–341]	NA	voiceless	aghu1253
Lezgic	Aghul	pː	p̄	[Кибрик, Кодзасов 1990: 340–341]	NA	voiceless	aghu1253
Lezgic	Aghul	qʰ	q	[Кибрик, Кодзасов 1990: 340–341]	NA	voiceless	aghu1253
Lezgic	Aghul	q'	q'	[Кибрик, Кодзасов 1990: 340–341]	NA	voiceless	aghu1253
Lezgic	Aghul	q'ːʷ	q̄'˳	[Кибрик, Кодзасов 1990: 340–341]	NA	voiceless	aghu1253
Lezgic	Aghul	q'ʷ	q'˳	[Кибрик, Кодзасов 1990: 340–341]	NA	voiceless	aghu1253
Lezgic	Aghul	q'ˤ	q'I	[Кибрик, Кодзасов 1990: 340–341]	NA	voiceless	aghu1253
Lezgic	Aghul	qː	q̄	[Кибрик, Кодзасов 1990: 340–341]	NA	voiceless	aghu1253
Lezgic	Aghul	qːˤ	q̄I	[Кибрик, Кодзасов 1990: 340–341]	NA	voiceless	aghu1253
Lezgic	Aghul	qʰʷ	q˳	[Кибрик, Кодзасов 1990: 340–341]	NA	voiceless	aghu1253
Lezgic	Aghul	qˤ	qI	[Кибрик, Кодзасов 1990: 340–341]	NA	voiceless	aghu1253
Lezgic	Aghul	r	r	[Кибрик, Кодзасов 1990: 340–341]	NA	voiced	aghu1253
Lezgic	Aghul	ʁ	ʀ	[Кибрик, Кодзасов 1990: 340–341]	NA	voiced	aghu1253
Lezgic	Aghul	ʁʷ	ʀ˳	[Кибрик, Кодзасов 1990: 340–341]	NA	voiced	aghu1253
Lezgic	Aghul	ʁˤ	ʀI	[Кибрик, Кодзасов 1990: 340–341]	NA	voiced	aghu1253
Lezgic	Aghul	s	s	[Кибрик, Кодзасов 1990: 340–341]	NA	voiceless	aghu1253
Lezgic	Aghul	ʃ	š	[Кибрик, Кодзасов 1990: 340–341]	NA	voiceless	aghu1253
Lezgic	Aghul	tʰ	t	[Кибрик, Кодзасов 1990: 340–341]	NA	voiceless	aghu1253
Lezgic	Aghul	t'	t'	[Кибрик, Кодзасов 1990: 340–341]	NA	voiceless	aghu1253
Lezgic	Aghul	tː	t̄	[Кибрик, Кодзасов 1990: 340–341]	NA	voiceless	aghu1253
Lezgic	Aghul	tsʰ	c	[Кибрик, Кодзасов 1990: 340–341]	NA	voiceless	aghu1253
Lezgic	Aghul	ts'	c'	[Кибрик, Кодзасов 1990: 340–341]	NA	voiceless	aghu1253
Lezgic	Aghul	tsː	c̄	[Кибрик, Кодзасов 1990: 340–341]	у автора дан в скобках	voiceless	aghu1253
Lezgic	Aghul	tʃʰ	č	[Кибрик, Кодзасов 1990: 340–341]	NA	voiceless	aghu1253
Lezgic	Aghul	tʃ'	č'	[Кибрик, Кодзасов 1990: 340–341]	NA	voiceless	aghu1253
Lezgic	Aghul	tʃː	c̄̌	[Кибрик, Кодзасов 1990: 340–341]	у автора дан в скобках	voiceless	aghu1253
Lezgic	Aghul	w	w	[Кибрик, Кодзасов 1990: 340–341]	NA	voiced	aghu1253
